"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"469","Sub1",NA,NA,NA,NA,-0.617282916424834,NA
"470","T",-1.02217449197904,NA,NA,NA,-1.94655972930335,NA
"471","Tal1",NA,NA,NA,NA,1.32961254302678,1.05015400579696
"472","Tbx1",NA,NA,NA,NA,0.69092740548512,NA
"473","Tbx15",NA,NA,NA,NA,-0.554692717446912,NA
"474","Tbx18",NA,NA,NA,NA,-0.848812108997723,-0.523496415686718
"475","Tbx2",NA,NA,NA,NA,-0.958314786709702,-0.618468663184532
"476","Tbx20",NA,NA,NA,NA,NA,-1.14270865618889
"477","Tbx22",-2.12802668253396,NA,NA,NA,-2.74040162360399,NA
"478","Tbx3",NA,-0.507688897289753,NA,NA,-0.944637455888009,-0.859484667094314
"479","Tbx4",NA,NA,NA,NA,-0.602938787863912,NA
"480","Tbx5",NA,-0.578389760724122,NA,NA,-1.38619888102068,-0.912346355979264
"481","Tcf12",NA,NA,NA,NA,-0.553638107810287,NA
"482","Tcf15",NA,NA,NA,NA,-0.734457790971171,NA
"483","Tcf19",NA,NA,NA,NA,0.694665856775287,0.616980724603808
"484","Tcf24",2.50611660808359,0.637053230656202,NA,NA,4.00356759345007,1.32412716778374
"485","Tcf3",NA,NA,NA,NA,-0.648838276648013,NA
"486","Tcf7l2",NA,NA,NA,NA,-0.655379451793104,-0.627297750152498
"487","Tcfl5",NA,NA,NA,NA,0.97154344217754,NA
"488","Tead2",NA,NA,NA,NA,-0.956236570558366,-0.589434792676933
"489","Tead4",0.648094142525113,NA,NA,NA,1.15483234413547,NA
"490","Tef",NA,NA,NA,NA,0.580303559203656,NA
"491","Terf1",NA,NA,NA,NA,-0.577083258551662,NA
"492","Tfam",NA,NA,NA,NA,-0.640280051033716,NA
"493","Tfap2c",-1.12620221900928,NA,NA,NA,NA,NA
"494","Tfap4",NA,NA,NA,NA,-0.605483766130673,NA
"495","Tfb1m",NA,NA,NA,NA,-0.583442545012369,NA
"496","Tfcp2l1",0.91130594653329,NA,NA,NA,NA,NA
"497","Tfdp2",NA,NA,NA,NA,-1.04832609753951,-0.621682255813507
"498","Tfe3",NA,NA,NA,NA,0.597520447343826,NA
"499","Tfeb",0.680956616453444,NA,0.510092382413509,0.510092382413509,1.45006637929098,0.710596998212635
"500","Tfec",0.915375218788221,NA,NA,NA,2.80569451641195,1.53493051877283
"501","Tgif1",NA,NA,NA,NA,-1.13442519154794,-0.738891851065214
"502","Tgif2",NA,NA,NA,NA,-0.748427387635946,-0.558438439356081
"503","Thap2",NA,NA,NA,NA,-0.778612563594859,NA
"504","Thra",0.695854733072241,NA,NA,NA,1.23671956017298,0.532833816560582
"505","Thrb",1.34673264231237,NA,NA,NA,2.14465925857777,0.638290460422959
"506","Tox",NA,-0.578641948454204,NA,NA,-1.08027744117919,-0.589565384745102
"507","Tox2",1.56994705426714,0.528005015453799,NA,NA,2.20960854343075,NA
"508","Tox3",NA,-0.534107006233529,NA,NA,-1.09958348103351,-0.712542506207323
"509","Trps1",NA,-0.549726556162761,NA,NA,-1.2188932833797,NA
"510","Tsc22d4",NA,NA,NA,NA,0.759323118325972,0.504812124260324
"511","Tshz1",NA,NA,NA,NA,-0.900148662568733,-0.856540983720034
"512","Tshz2",0.881486892576666,NA,NA,NA,0.832105255619364,NA
"513","Tshz3",0.652271287134011,NA,NA,NA,NA,NA
"514","Tulp2",-1.10766732346376,NA,NA,NA,-1.42408697809809,NA
"515","Tulp4",NA,NA,NA,NA,-0.565479226942709,NA
"516","Twist2",0.905961378549128,0.774666080934995,NA,NA,1.92296983126793,0.988940779025851
"517","Uncx",-1.94839354840034,NA,NA,NA,-2.66499837210603,NA
"518","Vax2",NA,0.897743053154124,NA,NA,2.10691723990546,1.5581946914414
"519","Vdr",1.22795907170815,NA,NA,NA,2.73897742098888,NA
"520","Vezf1",NA,NA,NA,NA,-0.893900440810445,-0.638930397687199
"521","Vsx2",0.808702220027681,NA,NA,NA,2.3119473255587,NA
"522","Wdhd1",NA,NA,NA,NA,-0.840756824047601,NA
"523","Xbp1",NA,NA,NA,NA,0.854291734480847,0.528331306951148
"524","Ybx2",NA,NA,NA,NA,-1.2084493391113,-0.830597962994675
"525","Yeats4",NA,NA,NA,NA,-0.731288096797805,NA
"526","Yy2",NA,NA,NA,NA,-1.15546747913587,-0.65766907205201
"527","Zbed4",NA,NA,NA,NA,-0.838499835842161,NA
"528","Zbtb10",NA,NA,NA,NA,-0.790123491150826,NA
"529","Zbtb12",-0.589308555496712,NA,NA,NA,-1.40073565486768,-0.801991398776866
"530","Zbtb14",NA,NA,NA,NA,-0.681570364288713,NA
