,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Myog,0.625867946,0.43426906,0.438593814,0.153950692,0.136840366,0.51906215,0.655406753,0.51683257,0.442835996,0,0.359511842,0.597417661,0.610371193,0.848741211,0.479915068,0.944693953,0.48365735,0.77441428,0.716588572,0.920799001,1,0.316876093,0.463059133,2,bHLH
Ncoa1,0.469732343,0.471096887,0.376879936,0,0.160716654,0.351472225,0.44569187,0.448938258,0.170404557,0.578322337,0.278575694,0.438781191,0.991442568,0.801506492,0.44581592,1,0.891603905,0.700978607,0.2970921,0.791580411,0.84935801,0.809825708,0.701657677,2,bHLH
Npas2,0,0.043197799,0.075147995,0.092723606,0.063952738,0.167524909,0.53283048,0.302077238,0.29997599,0.728168205,0.663338821,0.581219766,0.946289369,0.859611266,0.684319056,0.936002235,0.975083518,0.884706947,0.35420153,0.798998606,0.757220685,0.969801817,1,2,bHLH
Npas3,0.158188618,0.208220564,0.226723792,0.010634406,0.101636027,0.318518394,0.3470847,0.329126594,0.053420849,0.352042916,0.198629563,0.228365969,0.513217428,0.522662206,0.386244472,0.749431309,0.814004405,0.588298225,0.116867227,0.753535504,1,0,0.113219143,2,bHLH
Tcf24,0.195502318,0,0.070634294,0.045266133,0.053450048,0.437604517,0.426026592,0.506205518,0.460830294,0.491158059,0.54997658,0.635344622,0.57317274,0.678474304,0.848615275,0.693515154,0.577349649,0.547078243,0.778448769,0.865310204,1,0.513318887,0.464795655,2,bHLH
Twist2,0.055680246,0.235501641,0.244026488,0.065546643,0,0.138491181,0.270569876,0.334555334,0.109704474,0.506442641,0.271880132,0.190866549,1,0.805590883,0.641883633,0.751385922,0.911460211,0.830508994,0.174774861,0.711237094,0.746192274,0.906585562,0.790366808,2,bHLH
Creb3l1,0.110595058,0.097258701,0.124110774,0,0.020909781,0.436368572,0.546922607,0.513132916,0.445674213,0.739065949,0.610698066,0.625165272,0.897565433,0.858197772,0.762731397,0.90741827,1,0.891724334,0.623531649,0.921130234,0.981749343,0.893173727,0.887765969,2,TF_bZIP
Fos,0,0.330697072,0.400934979,0.278497027,0.274206802,0.924445562,0.951663028,0.924945267,0.518456512,0.4373767,0.741649122,0.631839256,0.882198081,0.525943331,0.648520622,0.486395892,0.300035171,0.439296571,1,0.541001074,0.635810813,0.911549566,0.719482615,2,TF_bZIP
Hlf,0.082697497,0.171697943,0,0.082041828,0.157035308,0.3707045,0.471540935,0.352672733,0.43859816,0.710564196,0.455630474,0.613420511,1,0.89527186,0.746227565,0.793518456,0.853880133,0.789080225,0.508813081,0.700661695,0.786082614,0.993717693,0.886286548,2,TF_bZIP
Jdp2,0,0.396111319,0.408241269,0.274039391,0.678088649,0.10058308,0.117858231,0.100039547,0.323990189,0.574115381,1,0.817760047,0.655544707,0.636477752,0.642610519,0.535183761,0.740428329,0.594146704,0.530592943,0.613944293,0.668742267,0.818545046,0.977539675,2,TF_bZIP
Junb,0,0.200588101,0.30343638,0.253007284,0.16106066,0.770529228,0.91795296,0.713447652,0.612223778,0.328200154,0.800632679,0.617592415,0.871419959,0.588047917,0.625297394,0.544054216,0.436899417,0.655053999,0.862425505,0.555881066,0.57549873,1,0.800795994,2,TF_bZIP
Nfe2l3,0.145143109,0.135914504,0.068643509,0.210461774,0,0.563481302,0.496131054,0.622941819,0.452518698,0.650987057,0.482277125,0.424154719,0.890799698,0.84585428,0.814143964,0.743431959,1,0.804674444,0.557976311,0.415740896,0.340677203,0.717468278,0.485478067,2,TF_bZIP
Bcl6,0,0.188985024,0.278726805,0.085950965,0.133440395,0.209648812,0.256259207,0.168218174,0.308870565,0.730519851,0.594936522,0.563019468,0.819045,0.816648434,0.659890176,0.77844107,0.894516396,0.778202913,0.455149691,0.806102439,1,0.888817828,0.926745749,2,ZBTB
Hic1,0.327826929,0.237071614,0.302308917,0,0.062982336,0.599788454,0.742919578,0.77484254,0.512692919,0.683724467,0.440866587,0.327822946,0.592142709,0.474976059,0.384824309,0.813926591,1,0.772342475,0.595618289,0.803165105,0.801232309,0.242057884,0.290111821,2,ZBTB
Zbtb4,0.129310019,0.302348453,0.30744443,0.127074474,0.194542308,0,0.144763278,0.198211031,0.101954579,0.638155249,0.414199417,0.386989678,0.862141655,0.763346179,0.623673766,0.739012183,0.924103863,0.718584763,0.351479347,0.609674864,0.891222179,1,0.984178376,2,ZBTB
Zbtb7c,0,0.274072295,0.267521325,0.36751249,0.342259961,0.427528124,0.796193306,0.637866652,0.433047405,0.73537034,0.944234122,0.807591961,0.650422738,0.845602874,0.747262004,0.691485409,0.859088646,0.792733121,0.523365389,0.535241436,0.71040527,1,0.911617402,2,ZBTB
Egr1,0,0.333699774,0.383742883,0.230144251,0.212615556,0.97141141,1,0.896090643,0.491344289,0.519675877,0.598338647,0.599782564,0.769459495,0.5742971,0.545241961,0.53107384,0.357895897,0.499134042,0.767869956,0.496863991,0.398630983,0.590782892,0.39579904,2,zf-C2H2
Egr2,0.136092952,0.186019953,0.162283415,0.081547411,0,0.69370756,0.959480338,0.75464771,0.502847519,0.424469582,0.561672122,0.500320156,0.951841526,0.892298648,0.693881252,0.783303835,0.511471177,0.611106031,1,0.956750564,0.858594641,0.649035107,0.533825699,2,zf-C2H2
Egr3,0.102017195,0.041362453,0.092653528,0.20514422,0,0.71748547,1,0.828331451,0.558892316,0.685238425,0.409286801,0.650966463,0.954087317,0.92701824,0.66800514,0.868514451,0.715748051,0.711981435,0.905539422,0.918813084,0.725904902,0.739349974,0.645032433,2,zf-C2H2
